㢼	biè
㢽	ěr
㢾	juàn
㣀	zhèn
㣁	bèi
㣂	è
㣃	yǔ
㣄	qú
㣅	zàn
㣆	mí
㣇	yì
㣈	sì
㣌	shàn
㣍	tái
㣎	mù
㣏	jìng
㣐	biàn
㣑	róng
㣒	cèng
㣓	càn
㣔	dīng
㣙	dí.zhòu
㣚	tǒng.tóng.dòng
㣛	tà.huì
㣜	xíng
㣝	sōng
㣞	duó
㣟	xì
㣠	tāo.tóng
㣢	tí
㣣	shàn
㣤	jiàn
㣥	zhì
㣦	wēi
㣧	yìn
㣪	huǎn
㣫	zhǒng.dòng
㣬	qì
㣭	zōng
㣯	xiè
㣰	xiè
㣱	zé
㣲	wéi
㣵	tà
㣶	zhān
㣷	nìng
㣻	yì
㣼	rěn
㣽	shù.nù
㣾	chà
㣿	zhuó.diǎo
㤁	miǎn
㤂	jí
㤃	fáng
㤄	pèi
㤅	ài.xì.jì
㤆	fàn
㤇	ǎo
㤈	qìn
㤉	qiā.yà
㤊	xiào
㤋	fēn
㤌	gān
㤍	qiāo.qiǎo
㤎	gē
㤏	tóng
㤐	chān
㤑	yòu
㤒	gāo
㤓	bèn
㤔	fù
㤕	chù.pò
㤖	zhù
㤘	zhòu
㤚	háng
㤛	nín
㤜	jué
㤝	chōng
㤞	chà.duó.zé
㤟	kǒng
㤠	liè
㤡	lì.liè
㤢	yù
㤤	yú
㤥	hài
㤦	lì
㤧	hóu
㤨	gǒng
㤩	kè
㤪	yuàn
㤫	dé
㤬	huì
㤮	guàng
㤯	jiǒng
㤰	zuò
㤱	fù.dòu
㤲	qiè
㤳	běi
㤴	chè.shè.dié
㤵	cí
㤶	máng.màng
㤷	hān
㤸	xì
㤹	qiú.jiù
㤺	huǎng
㤽	chóu
㤾	sàn
㤿	yān
㥀	zhí.dé
㥁	dé
㥂	tè
㥃	mèn
㥄	líng
㥅	shòu
㥆	tuì
㥇	cán
㥈	dié
㥉	chè
㥊	péng.pēng
㥋	yī
㥌	jú
㥍	jì
㥎	lái
㥏	tiǎn
㥐	yuàn
㥒	cǎi.cāi
㥓	qī
㥔	yù
㥕	lián
㥖	cōng
㥚	yú.yǔ
㥛	jí.kè
㥜	wèi
㥝	mǐ
㥞	suì
㥟	xié
㥠	xū
㥡	chì
㥢	qiú.jiū
㥣	huì
㥥	yú
㥦	qiè
㥧	shùn
㥨	shuì.wěi
㥩	duǒ
㥪	lóu
㥬	páng
㥭	tài
㥮	zhòu.chǎo
㥯	yǐn
㥰	sāo
㥱	fěi
㥲	chēn.shèn
㥳	yuán
㥴	yí.tí
㥵	hùn
㥶	sè.qiān
㥷	yè
㥸	mǐn
㥹	fěn
㥺	hé
㥼	yìn.yān
㥽	cè.zé
㥾	nì
㥿	ào
㦀	féng
㦁	lián.liǎn
㦂	cháng
㦃	chǎn
㦄	má
㦅	diē.dì.chài
㦆	hū.xiā
㦇	lù
㦉	yì
㦊	huá
㦋	zhā
㦌	hū.xù
㦍	è
㦎	huò
㦏	sǔn.xuàn
㦐	nì
㦑	xiàn.hān
㦒	lí
㦓	xiàn.rǎn
㦔	yàn
㦕	lóng
㦖	mèn
㦗	jīn.jìn
㦘	jī
㦚	biǎn
㦛	yǔ.yú
㦜	huò.xuè
㦝	miǎo
㦞	chóu
㦟	mái
㦡	lè
㦢	jié
㦣	wèi
㦤	yì
㦥	xuān.xiǎn
㦦	xì
㦧	cǎn
㦨	lán
㦩	yǐn
㦪	xiè
㦫	zā
㦬	luǒ
㦭	líng
㦮	qián
㦯	huò
㦰	jiān
㦱	wǒ
㦴	gé
㦵	zhū
㦶	dié.yǒng
㦷	yǒng
㦸	jǐ
㦹	yáng
㦺	rù
㦻	xí
㦼	shuàng
㦽	yù
㦾	yí
㦿	qiǎn.hù
㧀	jí
㧁	qù.hé
㧂	tián
㧃	shōu.jiū
㧄	qiǎn
㧅	mù.dāo
㧆	jīn
㧇	mǎo
㧈	yǐn
㧉	gài.hài.yè
㧊	pō.bá
㧋	xuǎn
㧌	mào
㧍	fǎng.bēng
㧎	yá.yà.qiā
㧏	gāng
㧐	sǒng
㧑	huī
㧒	yù
㧓	guā
㧔	guài
㧕	liǔ
㧖	è
㧗	zǐ.jǐ.zhǐ
㧘	zì
㧙	bì.bié
㧚	wǎ
㧜	liè
㧟	kuǎi
㧡	hài.wèi
㧢	yīn
㧣	zhū
㧤	chòng
㧥	xiǎn
㧦	xuàn.hōng
㧨	qiú
㧩	pèi
㧪	guǐ.wěi
㧫	ér.ruán.ruí
㧬	gǒng
㧭	qióng
㧮	hū
㧯	lǎo
㧰	lì
㧱	chèn
㧲	sǎn
㧳	zhuò.bāi
㧴	wǒ.é
㧵	póu
㧶	kēng
㧷	tùn
㧸	pēng
㧹	tè
㧺	tà
㧻	zhuó.zú.dū
㧼	biào
㧽	gù
㧾	hū
㨀	bǐng
㨁	zhì.zhí
㨂	dǒng
㨃	duǐ.chéng
㨄	zhào.tiáo.zhōu
㨅	nèi.ruì
㨆	lǐn
㨇	pó
㨈	jǐ
㨉	mín.wěn
㨊	wěi.tuǒ.duò
㨋	chě
㨌	gòu
㨍	bāng
㨎	rú
㨏	tān
㨐	bǔ
㨑	zōng
㨒	kuī
㨓	láo
㨔	hàn
㨕	yíng
㨖	zhì
㨗	jié
㨘	xǐng
㨙	xié.xì
㨚	xún.sǔn
㨛	shǎn.shàn
㨜	qián
㨝	xiē
㨞	sù
㨟	hāi
㨠	mì
㨡	hún
㨢	pī
㨤	huì
㨥	nà
㨦	sǒng
㨧	bèn
㨨	chōu.liù
㨩	jié
㨪	huàng.huǎng
㨫	lǎn
㨭	hù
㨮	dōu
㨯	huò
㨰	gǔn
㨱	yáo
㨲	cè
㨳	guǐ.jì
㨴	jiàn
㨵	jiǎn
㨶	dǎo
㨷	jìn
㨸	mà
㨹	huì.xuě
㨺	miǎn.mén
㨻	cán.shǎn.zàn.chàn
㨼	lüè.lvè
㨽	pì
㨾	yàng
㨿	jù
㩀	jù
㩁	què
㩃	qiān
㩄	shāi
㩆	jiù.zú
㩇	huò.zuó.huá
㩈	yǔn
㩉	dá.lā.xī.xié
㩊	xuān
㩋	sù.xiāo
㩌	fèi
㩍	cè
㩎	yè
㩐	dèn
㩒	qín
㩓	huǐ
㩔	tún
㩖	qiáng
㩗	xí
㩘	nǐ
㩙	sāi
㩚	méng
㩛	tuán
㩜	lǎn
㩝	háo
㩞	cì
㩟	zhài
㩠	āo.piǎo.póu
㩡	luǒ
㩢	miè.mì
㩤	fū
㩦	xié.xī
㩧	bó
㩨	huì
㩩	qǐng
㩪	xié
㩭	bó
㩮	qián
㩯	pó
㩰	jiǎo
㩱	jué
㩲	kǔn
㩳	sǒng
㩴	jú.qú
㩵	è
㩶	niè
㩷	qiān
㩸	dié
㩹	dié
㩻	qī.guì.guǐ
㩼	zhī
㩽	qí.chì.è
㩾	zhuì.qí
㩿	kū
㪀	yú
㪁	qín.kān.qiàn.qián
㪂	kū
㪃	hé
㪄	fú
㪆	dǐ
㪇	xiàn
㪈	guì
㪉	hé
㪊	qún
㪋	hàn.hě
㪌	tǒng
㪍	bó.bèi
㪎	shǎn.nà
㪏	bǐ
㪐	lù
㪑	yè
㪒	ní
㪓	chuái
㪔	sàn
㪕	diào.chuò
㪖	lù
㪗	tǒu
㪘	liǎn
㪙	kě
㪚	sàn
㪛	zhěn
㪜	chuǎi.duǒ
㪝	liàn
㪞	mào
㪠	qiān.qiàn.jiān
㪡	kài.kě
㪢	shǎo
㪣	xiāo.qiāo
㪤	bì
㪥	zhā
㪦	yìn
㪧	xī
㪨	shàn
㪩	sù
㪪	sà
㪫	ruì
㪬	chuō.zhuó
㪭	lú
㪮	líng
㪯	chá
㪱	huàn
㪴	jiá
㪵	bàn
㪶	hú
㪷	dǒu
㪹	lǒu
㪺	jū
㪻	juàn
㪼	kě
㪽	suǒ
㪾	luò.gé
㪿	zhé
㫀	dǐng
㫁	duàn
㫂	zhù
㫃	yǎn
㫄	páng
㫅	chá
㫊	yǐ.ě
㫍	yóu.yǎo
㫎	huī.gǔn
㫏	yǎo
㫐	yǎo
㫑	zhǐ.shí
㫒	gǒng
㫓	qǐ
㫔	gèn
㫗	hòu
㫘	mì
㫙	fú
㫚	hū
㫛	guàng
㫜	tǎn
